x0,x1,x2,x3,uMs_cmd,uTs_cmd,iMs_cmd,iMs,iTs_cmd,iTs
-9.92601e-006,0.72694,9.80285,-1.9441,-0.122544,5.26672,0,-9.93294e-006,0.730355,0.726953
-8.37844e-006,0.72693,9.80457,-1.91959,-0.12256,5.26873,0,-8.58247e-006,0.730355,0.726927
-7.68225e-006,0.726832,9.80629,-1.89508,-0.12257,5.2681,0,-7.62652e-006,0.730132,0.72685
-6.40146e-006,0.726806,9.808,-1.87056,-0.122582,5.27037,0,-6.59146e-006,0.730132,0.726803
-5.4976e-006,0.726733,9.8097,-1.84604,-0.122598,5.26939,0,-5.36835e-006,0.729919,0.726757
-4.51784e-006,0.726687,9.81139,-1.82151,-0.122606,5.27198,0,-4.69334e-006,0.729919,0.726685
-3.35848e-006,0.726643,9.81308,-1.79698,-0.122627,5.27059,0,-3.15431e-006,0.729716,0.726674
-2.72268e-006,0.726574,9.81476,-1.77245,-0.12263,5.27358,0,-2.88297e-006,0.729716,0.726572
-1.26085e-006,0.726562,9.81643,-1.74791,-0.122655,5.27166,0,-1.12212e-006,0.729521,0.726602
-1.01106e-006,0.726465,9.81809,-1.72337,-0.122654,5.27515,0,-1.1551e-006,0.729521,0.726464
6.63616e-007,0.726493,9.81974,-1.69882,-0.122678,5.2762,0,4.89682e-007,0.729521,0.72649
6.22078e-007,0.726361,9.82139,-1.67427,-0.122679,5.2767,0,4.95682e-007,0.729335,0.726361
2.18638e-006,0.726385,9.82303,-1.64971,-0.122702,5.27779,0,2.02111e-006,0.729335,0.726382
2.18191e-006,0.726262,9.82466,-1.62515,-0.122704,5.27823,0,2.07504e-006,0.729157,0.726264
3.63262e-006,0.726281,9.82629,-1.60059,-0.122726,5.27937,0,3.4758e-006,0.729157,0.726278
3.67387e-006,0.726168,9.82791,-1.57602,-0.12273,5.27973,0,3.58897e-006,0.728986,0.72617
5.00582e-006,0.726181,9.82952,-1.55145,-0.122751,5.28093,0,4.8573e-006,0.728986,0.726178
5.10373e-006,0.726078,9.83113,-1.52687,-0.122756,5.2812,0,5.04398e-006,0.728823,0.726082
6.30938e-006,0.726085,9.83272,-1.50229,-0.122775,5.28249,0,6.16907e-006,0.728823,0.726082
6.47773e-006,0.725993,9.83432,-1.47771,-0.122783,5.28264,0,6.44719e-006,0.728666,0.725999
7.54659e-006,0.725992,9.8359,-1.45312,-0.1228,5.28403,0,7.41451e-006,0.728666,0.72599
7.80272e-006,0.725912,9.83748,-1.42853,-0.12281,5.28403,0,7.80658e-006,0.728515,0.725921
8.72073e-006,0.725903,9.83906,-1.40393,-0.122826,5.28555,0,8.59696e-006,0.728515,0.725901
9.08639e-006,0.725837,9.84063,-1.37934,-0.122838,5.28537,0,9.13114e-006,0.728371,0.725849
9.83498e-006,0.725817,9.84218,-1.35473,-0.122851,5.28707,0,9.71975e-006,0.728371,0.725815
1.03374e-005,0.725767,9.84374,-1.33012,-0.122867,5.28666,0,1.04306e-005,0.728232,0.725783
1.08925e-005,0.725734,9.84529,-1.30551,-0.122877,5.28857,0,1.07862e-005,0.728232,0.725733
1.15652e-005,0.725702,9.84683,-1.2809,-0.122896,5.28788,0,1.17083e-005,0.728099,0.725723
1.18966e-005,0.725654,9.84837,-1.25628,-0.122903,5.29006,0,1.17997e-005,0.728099,0.725654
1.2773e-005,0.725644,9.8499,-1.23166,-0.122925,5.28901,0,1.28738e-005,0.72797,0.725671
1.28503e-005,0.725577,9.85143,-1.20703,-0.122929,5.29153,0,1.27636e-005,0.72797,0.725577
1.38737e-005,0.725593,9.85295,-1.1824,-0.12295,5.29243,0,1.3767e-005,0.72797,0.725591
1.3757e-005,0.725503,9.85446,-1.15776,-0.122955,5.29298,0,1.36816e-005,0.727847,0.725504
1.4713e-005,0.725517,9.85597,-1.13313,-0.122976,5.29391,0,1.46114e-005,0.727847,0.725515
1.46202e-005,0.725432,9.85748,-1.10848,-0.122982,5.29442,0,1.45574e-005,0.727728,0.725433
1.5506e-005,0.725442,9.85898,-1.08384,-0.123002,5.29538,0,1.54094e-005,0.727728,0.72544
1.54434e-005,0.725363,9.86047,-1.05919,-0.123009,5.29583,0,1.5395e-005,0.727613,0.725365
1.62549e-005,0.72537,9.86196,-1.03454,-0.123028,5.29684,0,1.61632e-005,0.727613,0.725368
1.62305e-005,0.725297,9.86344,-1.00988,-0.123036,5.29722,0,1.61989e-005,0.727502,0.725301
1.69618e-005,0.7253,9.86492,-0.98522,-0.123054,5.29829,0,1.68751e-005,0.727502,0.725298
1.69859e-005,0.725234,9.8664,-0.960555,-0.123063,5.29859,0,1.69739e-005,0.727395,0.725239
1.76289e-005,0.725232,9.86786,-0.935888,-0.12308,5.29973,0,1.75472e-005,0.727395,0.725231
1.77141e-005,0.725174,9.86933,-0.911216,-0.123091,5.29992,0,1.77258e-005,0.727292,0.725181
1.82582e-005,0.725166,9.87079,-0.886541,-0.123106,5.30116,0,1.81817e-005,0.727292,0.725165
1.84207e-005,0.725118,9.87224,-0.861862,-0.123119,5.30122,0,1.84607e-005,0.727192,0.725126
1.88518e-005,0.725102,9.87369,-0.83718,-0.123133,5.30258,0,1.87806e-005,0.727192,0.725101
1.91119e-005,0.725064,9.87514,-0.812494,-0.123148,5.30248,0,1.91859e-005,0.727096,0.725076
1.94118e-005,0.72504,9.87658,-0.787804,-0.123159,5.30399,0,1.93462e-005,0.727096,0.725039
1.97944e-005,0.725015,9.87801,-0.763111,-0.123177,5.30368,0,1.9904e-005,0.727002,0.72503
1.99401e-005,0.724979,9.87944,-0.738414,-0.123186,5.30539,0,1.98806e-005,0.727002,0.724979
2.0471e-005,0.72497,9.88087,-0.713714,-0.123205,5.30482,0,2.05512e-005,0.726912,0.724989
2.04389e-005,0.72492,9.88229,-0.68901,-0.123212,5.30677,0,2.0386e-005,0.726912,0.724921
2.10797e-005,0.72493,9.88371,-0.664302,-0.123231,5.30758,0,2.10124e-005,0.726912,0.724929
2.09103e-005,0.724863,9.88512,-0.639591,-0.123239,5.30814,0,2.0865e-005,0.726824,0.724864
2.15089e-005,0.724871,9.88653,-0.614877,-0.123258,5.30897,0,2.14446e-005,0.726824,0.72487
2.13567e-005,0.724808,9.88793,-0.590159,-0.123266,5.3095,0,2.132e-005,0.726739,0.724809
2.19105e-005,0.724814,9.88933,-0.565437,-0.123284,5.31035,0,2.18492e-005,0.726739,0.724813
2.17806e-005,0.724755,9.89073,-0.540712,-0.123293,5.31084,0,2.17539e-005,0.726656,0.724757
2.22859e-005,0.724758,9.89212,-0.515983,-0.12331,5.31173,0,2.22277e-005,0.726656,0.724757
